#from:  labo8
##freq 278.221
##col_ Hz	Spectrum	Model	Line#1	Line#2
749703	58.2144	0.00152608	0.00153533	-9.24684e-06
749337	49.3632	0.00150029	0.00153679	-3.64999e-05
748970	40.2112	0.00151681	0.00153825	-2.14419e-05
748604	37.7728	0.00148402	0.00153972	-5.56904e-05
748238	41.2288	0.00149196	0.00154118	-4.92175e-05
747872	41.376	0.0014694	0.00154265	-7.32463e-05
747506	31.6864	0.00147564	0.00154412	-6.84756e-05
747139	19.1936	0.00140869	0.00154559	-0.000136902
746773	17.7984	0.00139631	0.00154706	-0.000150756
746407	29.0368	0.00134864	0.00154854	-0.0001999
746041	36.8896	0.00129339	0.00155002	-0.000256622
745675	27.6352	0.00127777	0.0015515	-0.000273727
745308	9.5424	0.00115447	0.00155298	-0.000398513
744942	3.7504	0.00116306	0.00155446	-0.000391399
744576	16.6912	0.00127594	0.00155595	-0.000280011
744210	31.392	0.00125894	0.00155744	-0.000298496
743843	29.1392	0.00111687	0.00155893	-0.000442061
743477	12.1856	0.00119831	0.00156042	-0.00036211
743111	-2.1568	0.00111806	0.00156192	-0.000443857
742745	-4.0576	0.00133458	0.00156341	-0.000228828
742379	1.408	0.00133399	0.00156491	-0.000230919
742012	6.8032	0.00140506	0.00156641	-0.000161351
741646	11.6544	0.00140015	0.00156792	-0.000167769
741280	16.8064	0.00142297	0.00156942	-0.000146452
740914	18.7392	0.00148799	0.00157093	-8.29398e-05
740548	15.9488	0.00149036	0.00157244	-8.20769e-05
740181	14.8608	0.00150969	0.00157395	-6.4267e-05
739815	20.8768	0.00150852	0.00157547	-6.69437e-05
739449	26.9312	0.00151559	0.00157698	-6.13897e-05
739083	20.5184	0.00149489	0.0015785	-8.36118e-05
738717	2.9056	0.00148289	0.00158002	-9.71353e-05
738350	-8.192	0.00146504	0.00158155	-0.000116512
737984	0.672	0.00150105	0.00158307	-8.20183e-05
737618	22.4896	0.00147964	0.0015846	-0.000104957
737252	39.8976	0.00154345	0.00158613	-4.26819e-05
736885	45.5552	0.0016291	0.00158766	4.14346e-05
736519	44.7872	0.00193335	0.0015892	0.000344153
736153	41.7024	0.00290814	0.00159073	0.00131741
735787	34.1952	0.0055241	0.00159227	0.00393183
735421	24.256	0.0124543	0.00159381	0.0108605
735054	22.1184	0.029617	0.00159536	0.0280217
734688	32.6912	0.0699757	0.0015969	0.0683788
734322	44.5952	0.161146	0.00159845	0.159548
733956	41.8432	0.35375	0.0016	0.35215
733590	24.8064	0.743914	0.00160155	0.742312
733223	10.8608	1.48859	0.00160311	1.48698
732857	14.048	2.83206	0.00160466	2.83045
732491	27.5904	5.14068	0.00160622	5.13907
