Model		NbO6	NbO5F	NbO4F2	NbO3F3	NbO2F4	NbOF5	NbF6
1_Rb-8		0	16	0	0	0	0	0
2_Rb-8		0	16	0	0	0	0	0
3_Rb-8		0	16	0	0	0	0	0
4_Rb-8		0	16	0	0	0	0	0
5_Rb-8		1	14	1	0	0	0	0
6_Rb-8		0	16	0	0	0	0	0
7_Rb-8		0	16	0	0	0	0	0
8_Rb-8		0	16	0	0	0	0	0
9_Rb-8		0	16	0	0	0	0	0
10_Rb-8		4	8	4	0	0	0	0
1_Rb-32		0	16	0	0	0	0	0
2_Rb-32		0	16	0	0	0	0	0
3_Rb-32		0	16	0	0	0	0	0
4_Rb-32		0	16	0	0	0	0	0
5_Rb-32		1	14	1	0	0	0	0
6_Rb-32		0	16	0	0	0	0	0
7_Rb-32		0	16	0	0	0	0	0
8_Rb-32		0	16	0	0	0	0	0
9_Rb-32		0	16	0	0	0	0	0
10_Rb-32	4	8	4	0	0	0	0
22_Rb-8		5	6	5	0	0	0	0
29_Rb-8		7	3	5	1	0	0	0
30_Rb-8		7	5	2	1	1	0	0
31_Rb-8		9	3	2	0	1	1	0
32_Rb-8		10	2	0	2	2	0	0
33_Rb-8		10	2	0	2	2	0	0
34_Rb-8		9	2	4	0	0	0	1
37_Rb-8		9	2	4	0	0	0	1
39_Rb-8		10	2	0	3	0	1	0
40_Rb-8		9	3	2	1	0	0	1
22_Rb-32	5	6	5	0	0	0	0
29_Rb-32	7	3	5	1	0	0	0
30_Rb-32	7	5	2	1	1	0	0
31_Rb-32	9	3	2	0	1	1	0
32_Rb-32	10	2	0	2	2	0	0
33_Rb-32	10	2	0	2	2	0	0
34_Rb-32	9	2	4	0	0	0	1
37_Rb-32	9	2	4	0	0	0	1
39_Rb-32	10	2	0	3	0	1	0
40_Rb-32	9	3	2	1	0	0	1
