Model		RbO18	RbO17F	RbO16F2	RbO15F3	RbO14F4	RbO13F5	RbO12F6	RbO11F7	RbO10F8	RbO9F9	RbO8F10	RbO7F11	RbO6F12	RbO5F13	RbO4F14	RbO3F15	RbO2F16	RbOF17	RbF18
1_Rb-8		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2_Rb-8		0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3_Rb-8		0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4_Rb-8		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5_Rb-8		0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6_Rb-8		0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7_Rb-8		0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8_Rb-8		0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9_Rb-8		0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_Rb-8		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1_Rb-32		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2_Rb-32		0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3_Rb-32		0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4_Rb-32		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5_Rb-32		0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6_Rb-32		0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7_Rb-32		0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8_Rb-32		0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9_Rb-32		0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_Rb-32	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22_Rb-8	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29_Rb-8	0	2	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
30_Rb-8	0	2	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31_Rb-8	1	0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32_Rb-8	1	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_Rb-8	1	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34_Rb-8	0	2	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37_Rb-8	0	2	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39_Rb-8	1	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40_Rb-8	1	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
