Model	CQ (MHz)	ηQ	Multiplicity
2	1.386	0.994	1
2	1.386	0.9941	7
2	1.392	0.9296	4
2	1.393	0.9292	4
2	1.421	0.7637	1
2	1.421	0.7638	3
2	1.421	0.7641	4
2	1.425	0.7593	4
2	1.425	0.7594	4
2	1.433	0.571	4
2	1.433	0.5713	4
2	1.535	0.5294	2
2	1.535	0.5295	2
2	1.536	0.5287	4
2	1.888	0.5227	4
2	1.888	0.523	4
2	1.959	0.4606	4
2	1.959	0.4609	3
2	1.959	0.461	1
3	1.799	0.6935	1
3	1.8	0.6961	1
3	1.801	0.6957	1
3	1.802	0.696	1
3	1.802	0.6965	1
3	1.803	0.6923	1
3	1.803	0.6987	1
3	1.805	0.6952	1
3	1.888	0.607	1
3	1.889	0.6115	1
3	1.89	0.6075	1
3	1.89	0.6084	1
3	1.892	0.6087	1
3	1.893	0.609	1
3	1.893	0.61	1
3	1.894	0.6082	1
3	3.12	0.8055	1
3	3.12	0.8057	1
3	3.122	0.8052	1
3	3.123	0.8057	1
3	3.124	0.804	1
3	3.124	0.8042	1
3	3.125	0.8033	1
3	3.128	0.806	1
3	3.149	0.8265	1
3	3.152	0.8272	1
3	3.153	0.8241	1
3	3.153	0.826	1
3	3.155	0.8214	1
3	3.155	0.8257	1
3	3.156	0.8235	1
3	3.157	0.8189	1
3	3.291	0.3576	1
3	3.294	0.3571	1
3	3.295	0.3571	1
3	3.295	0.3575	1
3	3.295	0.3595	1
3	3.296	0.3584	1
3	3.297	0.3576	1
3	3.298	0.3569	1
3	3.428	0.3217	1
3	3.429	0.3216	1
3	3.429	0.3219	1
3	3.429	0.3234	1
3	3.43	0.3215	1
3	3.431	0.3216	1
3	3.432	0.3186	1
3	3.432	0.3213	1
3	3.645	0.3447	1
3	3.645	0.3465	1
3	3.646	0.3451	1
3	3.646	0.3467	1
3	3.647	0.3453	1
3	3.647	0.3456	1
3	3.647	0.3463	1
3	3.648	0.3464	1
3	3.781	0.3202	1
3	3.782	0.3184	1
3	3.782	0.3187	1
3	3.783	0.3186	1
3	3.785	0.3179	2
3	3.785	0.3192	1
3	3.786	0.318	1
4	1.503	0.8785	1
4	1.504	0.8808	1
4	1.506	0.879	1
4	1.506	0.8805	1
4	1.507	0.8803	1
4	1.509	0.8782	1
4	1.509	0.8802	1
4	1.511	0.8778	1
4	1.557	0.8947	1
4	1.558	0.8951	1
4	1.56	0.8943	1
4	1.561	0.8937	1
4	1.561	0.894	1
4	1.561	0.8946	1
4	1.564	0.8923	1
4	1.565	0.8935	1
4	1.567	0.724	1
4	1.568	0.7212	1
4	1.568	0.7237	1
4	1.569	0.7228	1
4	1.574	0.7327	1
4	1.576	0.7319	1
4	1.577	0.7342	1
4	1.578	0.7335	1
4	1.628	0.5241	1
4	1.629	0.5256	1
4	1.629	0.5287	1
4	1.63	0.5235	1
4	1.632	0.5221	1
4	1.634	0.5199	1
4	1.635	0.5175	1
4	1.637	0.5183	1
4	1.646	0.8389	1
4	1.648	0.8381	1
4	1.648	0.8383	1
4	1.648	0.8395	1
4	1.648	0.841	1
4	1.648	0.8412	1
4	1.649	0.84	1
4	1.65	0.8394	1
4	1.679	0.5394	1
4	1.679	0.5404	1
4	1.679	0.5434	1
4	1.68	0.5414	1
4	1.683	0.5387	1
4	1.683	0.5388	1
4	1.683	0.5394	1
4	1.684	0.5356	1
4	1.688	0.8928	1
4	1.688	0.8934	1
4	1.689	0.8931	1
4	1.69	0.8916	1
4	1.694	0.8899	1
4	1.695	0.8901	1
4	1.699	0.8871	1
4	1.701	0.8852	1
4	1.718	0.8902	1
4	1.718	0.8913	1
4	1.718	0.8917	1
4	1.72	0.8891	1
4	1.734	0.8747	1
4	1.737	0.8691	1
4	1.74	0.8692	1
4	1.746	0.8599	1
8	0.81	0.1686	4
8	0.81	0.1693	4
8	0.829	0.1976	4
8	0.829	0.1977	2
8	0.829	0.1978	2
8	0.885	0.268	1
8	0.885	0.2681	3
8	0.886	0.2669	4
8	0.89	0.2355	4
8	0.89	0.2364	4
8	1.811	0.7629	4
8	1.811	0.7631	4
8	1.837	0.7618	4
8	1.837	0.762	4
8	1.861	0.9253	4
8	1.861	0.9254	4
8	1.863	0.9289	8
9	1.47	0.4985	1
9	1.47	0.4986	1
9	1.47	0.4987	2
9	1.471	0.4983	2
9	1.471	0.4985	2
9	1.523	0.559	2
9	1.524	0.5588	2
9	1.524	0.5589	2
9	1.524	0.5591	2
9	1.539	0.5247	2
9	1.54	0.5242	2
9	1.54	0.5243	2
9	1.54	0.5246	2
9	1.55	0.3912	2
9	1.55	0.3914	2
9	1.551	0.3908	2
9	1.551	0.3911	2
9	1.793	0.3157	1
9	1.793	0.3158	2
9	1.793	0.3159	1
9	1.793	0.3161	1
9	1.793	0.3162	2
9	1.793	0.3163	1
9	1.807	0.4128	2
9	1.807	0.4129	2
9	1.807	0.4133	4
9	1.809	0.9092	2
9	1.81	0.9088	1
9	1.81	0.9089	2
9	1.81	0.909	2
9	1.81	0.9091	1
9	1.828	0.7964	2
9	1.828	0.7966	1
9	1.828	0.7967	1
9	1.829	0.7963	2
9	1.829	0.7966	2
