Model	CQ (MHz)	ηQ	Multiplicity
2	50.718	0.2221	4
2	50.719	0.2222	4
2	50.753	0.1812	4
2	50.754	0.1812	4
2	51.183	0.137	4
2	51.183	0.1371	4
2	51.617	0.1452	4
2	51.622	0.1452	4
2	58.12	0.5947	1
2	58.121	0.5947	3
2	58.129	0.5951	4
2	58.701	0.5859	2
2	58.702	0.5859	2
2	58.709	0.5857	4
2	72.062	0.9172	4
2	72.062	0.9173	4
2	72.667	0.9194	4
2	72.672	0.9193	4
2	73.004	0.6247	3
2	73.005	0.6247	1
2	73.012	0.6245	1
2	73.013	0.6245	3
2	73.515	0.6252	2
2	73.516	0.6252	2
2	73.517	0.6252	4
2	73.724	0.3813	4
2	73.734	0.3812	4
2	74.346	0.3744	4
2	74.349	0.3744	2
2	74.35	0.3744	2
2	76.633	0.9897	1
2	76.634	0.9897	3
2	76.635	0.9897	4
2	76.723	0.9932	4
2	76.727	0.9933	4
2	81.905	0.332	4
2	81.915	0.3319	4
2	82.196	0.3298	4
2	82.202	0.3297	4
3	77.882	0.314	1
3	77.884	0.3136	1
3	77.893	0.3134	1
3	77.902	0.3142	1
3	77.904	0.3135	1
3	77.912	0.3136	1
3	77.913	0.3142	1
3	77.938	0.3135	1
3	78.457	0.181	1
3	78.472	0.1822	1
3	78.499	0.1835	1
3	78.514	0.1816	1
3	78.517	0.183	1
3	78.518	0.1821	1
3	78.524	0.1821	1
3	78.54	0.1812	1
3	78.681	0.2747	1
3	78.684	0.2754	1
3	78.697	0.2752	1
3	78.698	0.2754	1
3	78.704	0.2745	1
3	78.708	0.2753	1
3	78.717	0.2756	1
3	78.729	0.2752	1
3	79.056	0.2849	1
3	79.071	0.2859	1
3	79.093	0.2857	1
3	79.117	0.2854	1
3	79.121	0.2861	1
3	79.127	0.1859	1
3	79.128	0.285	1
3	79.131	0.2855	1
3	79.143	0.1858	1
3	79.144	0.1864	1
3	79.147	0.2863	1
3	79.151	0.1867	1
3	79.185	0.1877	1
3	79.194	0.1864	1
3	79.208	0.1867	1
3	79.22	0.186	1
3	80.067	0.2403	1
3	80.075	0.2396	1
3	80.081	0.24	1
3	80.129	0.24	1
3	80.138	0.2395	1
3	80.153	0.2401	1
3	80.162	0.24	1
3	80.176	0.2171	1
3	80.182	0.2403	1
3	80.183	0.219	1
3	80.184	0.2171	1
3	80.188	0.2193	1
3	80.194	0.2177	1
3	80.203	0.2198	1
3	80.209	0.2176	1
3	80.21	0.2176	1
3	80.856	0.224	1
3	80.872	0.2239	1
3	80.889	0.2237	1
3	80.892	0.2228	1
3	80.919	0.2243	1
3	80.921	0.2247	1
3	80.929	0.2236	1
3	80.929	0.2237	1
3	107.883	0.6008	1
3	107.888	0.6007	1
3	107.902	0.601	1
3	107.907	0.6012	1
3	107.909	0.6012	1
3	107.914	0.6011	1
3	107.947	0.6007	1
3	107.957	0.6015	1
3	108.6	0.6279	1
3	108.625	0.6275	1
3	108.627	0.6294	1
3	108.638	0.6289	1
3	108.643	0.6286	1
3	108.645	0.6285	1
3	108.648	0.6292	1
3	108.653	0.6283	1
3	109.337	0.5987	1
3	109.363	0.5983	1
3	109.363	0.5985	1
3	109.366	0.5986	1
3	109.378	0.5988	1
3	109.391	0.5984	1
3	109.422	0.5984	1
3	109.438	0.5988	1
3	109.623	0.6349	1
3	109.635	0.6349	1
3	109.638	0.6352	1
3	109.647	0.636	1
3	109.676	0.6351	1
3	109.705	0.6351	1
3	109.707	0.6356	1
3	109.722	0.635	1
3	109.755	0.6162	1
3	109.759	0.6161	1
3	109.765	0.6157	1
3	109.781	0.6164	1
3	109.785	0.6161	1
3	109.787	0.616	1
3	109.792	0.6169	1
3	109.798	0.6163	1
3	109.927	0.6532	1
3	109.942	0.6528	1
3	109.945	0.6526	1
3	109.954	0.6529	1
3	109.955	0.6531	1
3	109.962	0.6524	1
3	109.962	0.6532	1
3	109.993	0.6535	1
3	110.965	0.6453	1
3	110.972	0.6453	1
3	110.997	0.6458	1
3	111.0	0.6459	1
3	111.014	0.6454	1
3	111.015	0.646	1
3	111.017	0.6464	1
3	111.034	0.6456	1
3	111.05	0.6334	1
3	111.052	0.6332	1
3	111.054	0.6333	1
3	111.085	0.6342	1
3	111.086	0.6334	1
3	111.094	0.6339	1
3	111.103	0.6341	1
3	111.106	0.6339	1
4	56.376	0.583	1
4	56.433	0.5818	1
4	56.452	0.5816	1
4	56.48	0.5809	1
4	56.585	0.5805	1
4	56.587	0.5806	1
4	56.587	0.5807	1
4	56.599	0.581	1
4	57.317	0.4949	1
4	57.337	0.4951	1
4	57.338	0.4939	1
4	57.34	0.4952	1
4	57.344	0.4939	1
4	57.348	0.4936	1
4	57.359	0.9494	1
4	57.364	0.4943	1
4	57.371	0.4939	1
4	57.376	0.9512	1
4	57.41	0.9486	1
4	57.461	0.9502	1
4	57.495	0.9493	1
4	57.527	0.9465	1
4	57.588	0.9455	1
4	57.631	0.9471	1
4	58.165	0.9356	1
4	58.229	0.9335	1
4	58.286	0.9323	1
4	58.315	0.9311	1
4	58.438	0.9286	1
4	58.444	0.9289	1
4	58.464	0.9285	1
4	58.465	0.9292	1
4	58.699	0.5015	1
4	58.702	0.5006	1
4	58.704	0.5017	1
4	58.708	0.5019	1
4	58.708	0.502	1
4	58.713	0.5013	1
4	58.714	0.5021	1
4	58.731	0.5017	1
4	58.986	0.9841	1
4	58.991	0.9842	1
4	58.998	0.9839	1
4	59.001	0.984	1
4	59.012	0.9844	1
4	59.018	0.9845	1
4	59.023	0.9839	1
4	59.036	0.9835	1
4	59.131	0.9828	1
4	59.151	0.9818	1
4	59.152	0.9813	1
4	59.163	0.9809	1
4	59.188	0.9792	1
4	59.196	0.9788	1
4	59.206	0.9786	1
4	59.214	0.9781	1
4	59.283	0.9607	1
4	59.303	0.9608	1
4	59.308	0.961	1
4	59.309	0.9607	1
4	59.317	0.9608	1
4	59.323	0.9603	1
4	59.323	0.9606	1
4	59.331	0.5042	1
4	59.341	0.9606	1
4	59.351	0.4878	1
4	59.386	0.4873	1
4	59.395	0.4873	1
4	59.417	0.4876	1
4	59.422	0.5036	1
4	59.439	0.4881	1
4	59.44	0.4884	1
4	59.448	0.5037	1
4	59.45	0.4882	1
4	59.454	0.488	1
4	59.456	0.5034	1
4	59.473	0.5034	1
4	59.53	0.5033	1
4	59.534	0.503	1
4	59.59	0.5028	1
4	60.612	0.9217	1
4	60.633	0.9195	1
4	60.633	0.9199	1
4	60.635	0.9215	1
4	60.687	0.9193	1
4	60.688	0.919	1
4	60.691	0.9168	1
4	60.698	0.9164	1
4	61.162	0.8842	1
4	61.163	0.8847	1
4	61.17	0.8838	1
4	61.178	0.8844	1
4	61.193	0.8824	1
4	61.195	0.8834	1
4	61.196	0.5159	1
4	61.201	0.8825	1
4	61.204	0.5158	1
4	61.206	0.5167	1
4	61.207	0.5162	1
4	61.213	0.8826	1
4	61.217	0.5157	1
4	61.223	0.5162	1
4	61.24	0.5164	1
4	61.243	0.5169	1
4	61.545	0.899	1
4	61.547	0.9	1
4	61.548	0.8996	1
4	61.548	0.8999	1
4	61.548	0.9001	1
4	61.553	0.8993	1
4	61.557	0.9	1
4	61.56	0.9	1
4	61.709	0.453	1
4	61.709	0.4535	1
4	61.72	0.4536	1
4	61.726	0.4523	1
4	61.73	0.4536	1
4	61.731	0.4502	1
4	61.747	0.4516	1
4	61.755	0.4532	1
4	63.175	0.474	1
4	63.175	0.4743	1
4	63.182	0.4734	1
4	63.188	0.4736	1
4	63.188	0.4737	1
4	63.193	0.4733	1
4	63.198	0.4731	1
4	63.204	0.4735	1
8	63.373	0.6232	4
8	63.377	0.6231	4
8	63.452	0.6226	4
8	63.456	0.6226	4
8	64.743	0.6463	4
8	64.747	0.6462	4
8	64.857	0.538	2
8	64.857	0.5381	2
8	64.859	0.538	4
8	64.945	0.6426	4
8	64.951	0.6425	4
8	65.002	0.5507	6
8	65.003	0.5507	2
8	66.087	0.6659	8
8	66.167	0.6689	4
8	66.169	0.669	4
8	66.235	0.5248	4
8	66.237	0.5248	4
8	66.342	0.5293	3
8	66.342	0.5294	4
8	66.343	0.5293	1
8	66.499	0.6609	8
8	66.503	0.653	4
8	66.503	0.6531	4
8	66.759	0.5588	4
8	66.761	0.5587	4
8	66.827	0.5593	4
8	66.83	0.5591	4
8	68.153	0.573	4
8	68.155	0.5728	4
8	68.183	0.5707	4
8	68.183	0.5708	2
8	68.184	0.5708	2
9	76.399	0.6844	2
9	76.41	0.6841	2
9	76.427	0.684	2
9	76.44	0.6838	2
9	77.671	0.634	2
9	77.672	0.634	2
9	77.675	0.634	2
9	77.676	0.634	2
9	78.18	0.6573	2
9	78.181	0.6572	2
9	78.183	0.6572	2
9	78.184	0.6572	2
9	78.584	0.614	2
9	78.599	0.6139	2
9	78.613	0.6138	2
9	78.626	0.6137	2
9	85.223	0.6349	2
9	85.227	0.6349	2
9	85.232	0.6347	2
9	85.236	0.6347	2
9	85.705	0.6146	2
9	85.706	0.6146	2
9	85.706	0.6147	2
9	85.707	0.6147	2
9	86.449	0.5734	2
9	86.455	0.5733	2
9	86.456	0.5733	2
9	86.461	0.5733	2
9	87.382	0.6242	2
9	87.385	0.6242	2
9	87.386	0.624	2
9	87.388	0.624	2
9	94.231	0.5056	4
9	94.234	0.5056	2
9	94.235	0.5056	2
9	95.967	0.4394	2
9	95.968	0.4394	1
9	95.969	0.4394	1
9	95.969	0.4395	2
9	95.971	0.4394	2
9	96.581	0.4903	2
9	96.583	0.4902	2
9	96.585	0.4902	2
9	96.587	0.4902	2
9	97.842	0.2471	2
9	97.843	0.2471	2
9	97.845	0.2471	4
9	98.964	0.4587	2
9	98.965	0.4587	4
9	98.966	0.4587	2
9	99.644	0.2717	3
9	99.644	0.2718	2
9	99.645	0.2717	1
9	99.645	0.2718	2
9	103.702	0.2411	4
9	103.709	0.2411	4
9	105.089	0.2252	4
9	105.092	0.2252	2
9	105.092	0.2253	2
