Model	CQ (MHz)	ηQ	Multiplicity
2	1.667	0.1497	2
2	1.668	0.1497	2
2	1.668	0.1503	4
2	1.691	0.1861	2
2	1.691	0.1863	2
2	1.691	0.1866	2
2	1.691	0.1867	2
2	1.824	0.6974	3
2	1.824	0.6975	1
2	1.825	0.6969	2
2	1.825	0.697	2
2	1.908	0.8021	4
2	1.909	0.8025	4
2	2.436	0.6492	4
2	2.439	0.6463	3
2	2.439	0.6464	1
2	2.512	0.5196	4
2	2.513	0.5196	2
2	2.513	0.5197	2
2	2.731	0.591	2
2	2.732	0.5909	2
2	2.734	0.5895	2
2	2.734	0.5896	2
2	2.738	0.5918	2
2	2.738	0.592	2
2	2.74	0.5902	2
2	2.74	0.5905	2
4	1.601	0.8476	1
4	1.602	0.8478	1
4	1.603	0.8462	1
4	1.603	0.8466	2
4	1.603	0.848	2
4	1.604	0.8466	1
4	1.613	0.8692	1
4	1.613	0.8697	1
4	1.613	0.87	1
4	1.614	0.8677	1
4	1.614	0.8683	1
4	1.614	0.8689	1
4	1.614	0.869	1
4	1.614	0.8692	1
4	1.66	0.6038	2
4	1.661	0.6036	1
4	1.661	0.6044	1
4	1.661	0.7209	1
4	1.662	0.6029	1
4	1.662	0.7192	1
4	1.663	0.6021	1
4	1.663	0.6029	1
4	1.663	0.6031	1
4	1.663	0.7189	1
4	1.663	0.719	1
4	1.663	0.7191	1
4	1.664	0.7167	1
4	1.664	0.7182	1
4	1.664	0.7191	1
4	1.672	0.7175	1
4	1.672	0.7176	1
4	1.673	0.7169	2
4	1.673	0.717	1
4	1.673	0.7178	1
4	1.673	0.7183	1
4	1.674	0.7147	1
4	1.691	0.665	1
4	1.691	0.6662	1
4	1.691	0.6663	1
4	1.691	0.6664	1
4	1.692	0.6652	1
4	1.693	0.6637	1
4	1.693	0.6641	1
4	1.693	0.6646	1
4	1.701	0.6866	1
4	1.701	0.6871	1
4	1.701	0.6883	1
4	1.701	0.6884	1
4	1.702	0.6866	1
4	1.702	0.687	1
4	1.702	0.6878	1
4	1.703	0.5937	1
4	1.703	0.5949	1
4	1.703	0.6858	1
4	1.704	0.5924	1
4	1.704	0.5938	1
4	1.704	0.594	1
4	1.705	0.5929	1
4	1.705	0.5934	1
4	1.705	0.5935	1
7	1.735	0.285	1
7	1.737	0.2803	1
7	1.737	0.2821	1
7	1.741	0.2783	1
7	1.749	0.254	1
7	1.749	0.2546	1
7	1.751	0.2507	1
7	1.753	0.2484	1
7	1.93	0.4369	1
7	1.933	0.435	1
7	1.934	0.4341	1
7	1.935	0.4218	1
7	1.935	0.4325	1
7	1.936	0.4227	1
7	1.937	0.4175	1
7	1.939	0.4153	1
7	3.459	0.7233	1
7	3.461	0.7223	1
7	3.465	0.7188	1
7	3.466	0.7194	1
7	3.467	0.7173	1
7	3.468	0.7191	1
7	3.469	0.7156	1
7	3.469	0.7177	1
7	3.506	0.6345	1
7	3.507	0.6328	1
7	3.509	0.6315	1
7	3.512	0.6309	1
7	3.518	0.6311	1
7	3.52	0.6295	1
7	3.521	0.6299	1
7	3.523	0.6271	1
7	3.682	0.7728	1
7	3.683	0.773	1
7	3.683	0.7735	1
7	3.684	0.7718	1
7	3.684	0.7727	1
7	3.684	0.7728	1
7	3.685	0.773	1
7	3.686	0.7729	1
7	3.871	0.7454	1
7	3.871	0.7467	1
7	3.876	0.7416	1
7	3.876	0.7471	1
7	3.876	0.7479	1
7	3.877	0.7398	1
7	3.88	0.7432	1
7	3.88	0.7442	1
7	4.572	0.1441	1
7	4.572	0.1453	1
7	4.573	0.1422	1
7	4.575	0.1407	1
7	4.575	0.1415	1
7	4.575	0.1429	1
7	4.575	0.143	1
7	4.575	0.1432	1
7	4.625	0.1278	1
7	4.626	0.1283	1
7	4.626	0.1294	1
7	4.627	0.1288	1
7	4.627	0.1313	1
7	4.628	0.1296	1
7	4.631	0.1277	1
7	4.632	0.1278	1
8	1.058	0.1578	1
8	1.059	0.1558	1
8	1.059	0.1562	1
8	1.059	0.1565	1
8	1.059	0.1569	1
8	1.059	0.1571	1
8	1.059	0.1573	1
8	1.059	0.158	1
8	1.06	0.0871	1
8	1.061	0.0848	1
8	1.061	0.0857	1
8	1.061	0.086	1
8	1.061	0.0867	1
8	1.061	0.0869	1
8	1.061	0.0874	1
8	1.061	0.0878	1
8	1.063	0.1742	1
8	1.063	0.1746	1
8	1.064	0.1711	1
8	1.064	0.1723	1
8	1.064	0.1724	2
8	1.064	0.1725	1
8	1.064	0.1728	1
8	1.066	0.0937	1
8	1.067	0.0924	1
8	1.067	0.0929	2
8	1.067	0.0936	1
8	1.067	0.0937	1
8	1.067	0.0938	1
8	1.067	0.0945	1
8	2.53	0.1066	1
8	2.53	0.1068	1
8	2.53	0.107	1
8	2.53	0.1073	1
8	2.53	0.1075	1
8	2.531	0.1063	1
8	2.531	0.1068	1
8	2.531	0.1071	1
8	2.596	0.2355	1
8	2.596	0.2356	1
8	2.596	0.2358	1
8	2.596	0.2359	3
8	2.596	0.236	1
8	2.597	0.2357	1
8	2.645	0.2088	1
8	2.645	0.2089	1
8	2.645	0.2094	1
8	2.645	0.2095	1
8	2.646	0.208	1
8	2.646	0.2082	1
8	2.646	0.2091	1
8	2.646	0.2093	1
8	2.827	0.0118	1
8	2.827	0.0119	1
8	2.827	0.0123	1
8	2.827	0.0131	1
8	2.828	0.0122	1
8	2.828	0.0123	1
8	2.828	0.0124	1
8	2.828	0.0131	1
9	0.662	0.2367	1
9	0.662	0.2378	1
9	0.663	0.2362	1
9	0.663	0.2366	1
9	0.663	0.2368	1
9	0.663	0.2374	1
9	0.663	0.2376	1
9	0.663	0.2378	1
9	0.666	0.2496	1
9	0.666	0.2497	1
9	0.666	0.2499	2
9	0.667	0.2502	1
9	0.667	0.2504	1
9	0.668	0.2514	1
9	0.668	0.2515	1
9	0.67	0.2452	1
9	0.67	0.2458	1
9	0.671	0.2471	1
9	0.671	0.2477	1
9	0.671	0.2482	1
9	0.672	0.2456	1
9	0.672	0.2457	1
9	0.672	0.2466	1
9	0.672	0.2549	2
9	0.673	0.255	1
9	0.674	0.2551	1
9	0.675	0.2545	1
9	0.675	0.2547	1
9	0.675	0.2558	1
9	0.675	0.256	1
9	0.903	0.8909	1
9	0.904	0.8903	1
9	0.904	0.8908	1
9	0.904	0.8933	1
9	0.905	0.8905	1
9	0.905	0.8915	1
9	0.905	0.8916	1
9	0.905	0.892	1
9	0.965	0.7183	1
9	0.965	0.7184	1
9	0.966	0.7177	1
9	0.966	0.7178	1
9	0.967	0.7166	1
9	0.967	0.7168	1
9	0.967	0.717	1
9	0.967	0.7171	1
9	0.973	0.7245	1
9	0.973	0.7247	1
9	0.973	0.7251	1
9	0.973	0.7252	1
9	0.973	0.7253	1
9	0.973	0.7256	1
9	0.973	0.7258	1
9	0.974	0.7252	1
9	0.988	0.7277	1
9	0.988	0.7279	1
9	0.988	0.7282	1
9	0.988	0.7283	1
9	0.988	0.7301	1
9	0.988	0.7304	1
9	0.989	0.7292	1
9	0.989	0.7301	1
