#from:  nmrsu
#$$ 2022-11-15 17:39:54.431 +0100  nmrsu@av300wb
#$$ /opt/topspin3.2/monique/87Rb_RbF/2/pdata/1/procs
#$$ process /opt/topspin3.2/prog/mod/proc1d
# D:\SPECTRES_RECONSTRUITS_PAR_DMFIT\87RB_RBF\2_1D_TC_&_TS_25KHZ\PDATA\1\BL_1R.1
##freq 98.2174
##col_ Hz	Spectrum	Model	Line#1
500168	-0.0139031	0.0472881	0.000150917
500137	-0.0425906	0.0472801	0.000150936
500107	0.00390312	0.0472722	0.000150956
500076	0.103928	0.0472642	0.000150975
500045	0.244244	0.0472562	0.000150994
500015	0.427034	0.0472482	0.000151013
499984	0.668403	0.0472403	0.000151033
499954	0.988147	0.0472323	0.000151052
499923	1.39417	0.0472243	0.000151071
499893	1.86716	0.0472163	0.000151091
499862	2.35165	0.0472084	0.00015111
499832	2.75866	0.0472004	0.000151129
499801	2.98095	0.0471924	0.000151149
499771	2.91863	0.0471845	0.000151168
499740	2.50875	0.0471765	0.000151187
499710	1.7504	0.0471685	0.000151206
499679	0.717297	0.0471605	0.000151226
499649	-0.4475	0.0471526	0.000151245
499618	-1.55539	0.0471446	0.000151264
499588	-2.41024	0.0471366	0.000151284
499557	-2.85187	0.0471286	0.000151303
499527	-2.79411	0.0471207	0.000151322
499496	-2.24758	0.0471127	0.000151342
499466	-1.3207	0.0471047	0.000151361
499435	-0.197722	0.0470968	0.00015138
499405	0.901062	0.0470888	0.0001514
499374	1.76775	0.0470808	0.000151419
499344	2.25192	0.0470728	0.000151439
499313	2.29152	0.0470649	0.000151458
499283	1.92241	0.0470569	0.000151477
499252	1.26478	0.0470489	0.000151497
499222	0.490716	0.0470409	0.000151516
499191	-0.218353	0.047033	0.000151535
499160	-0.713334	0.047025	0.000151555
499130	-0.908128	0.047017	0.000151574
499099	-0.792581	0.0470091	0.000151594
499069	-0.425978	0.0470011	0.000151613
499038	0.0854562	0.0469931	0.000151632
499008	0.619756	0.0469851	0.000151652
498977	1.0701	0.0469772	0.000151671
498947	1.36756	0.0469692	0.000151691
498916	1.49061	0.0469612	0.00015171
498886	1.46079	0.0469533	0.000151729
498855	1.32766	0.0469453	0.000151749
498825	1.14899	0.0469373	0.000151768
498794	0.972762	0.0469293	0.000151788
498764	0.826047	0.0469214	0.000151807
498733	0.7133	0.0469134	0.000151827
498703	0.623009	0.0469054	0.000151846
498672	0.539184	0.0468974	0.000151865
498642	0.452772	0.0468895	0.000151885
498611	0.368547	0.0468815	0.000151904
498581	0.305056	0.0468735	0.000151924
498550	0.287759	0.0468656	0.000151943
498520	0.338069	0.0468576	0.000151963
498489	0.462575	0.0468496	0.000151982
498459	0.646591	0.0468416	0.000152002
498428	0.854775	0.0468337	0.000152021
498398	1.03922	0.0468257	0.000152041
498367	1.15257	0.0468177	0.00015206
498337	1.1623	0.0468097	0.00015208
498306	1.06139	0.0468018	0.000152099
498275	0.871797	0.0467938	0.000152118
498245	0.639419	0.0467858	0.000152138
498214	0.421762	0.0467779	0.000152157
498184	0.271881	0.0467699	0.000152177
498153	0.223484	0.0467619	0.000152196
498123	0.281569	0.0467539	0.000152216
498092	0.421484	0.046746	0.000152236
498062	0.596616	0.046738	0.000152255
498031	0.752269	0.04673	0.000152275
498001	0.841634	0.0467221	0.000152294
497970	0.838834	0.0467141	0.000152314
497940	0.745512	0.0467061	0.000152333
497909	0.588997	0.0466981	0.000152353
497879	0.413041	0.0466902	0.000152372
497848	0.264278	0.0466822	0.000152392
497818	0.178556	0.0466742	0.000152411
497787	0.171512	0.0466662	0.000152431
497757	0.235881	0.0466583	0.00015245
497726	0.346122	0.0466503	0.00015247
497696	0.468313	0.0466423	0.00015249
497665	0.571922	0.0466344	0.000152509
497635	0.639447	0.0466264	0.000152529
497604	0.670797	0.0466184	0.000152548
497574	0.681281	0.0466104	0.000152568
497543	0.694131	0.0466025	0.000152587
497513	0.730341	0.0465945	0.000152607
497482	0.799591	0.0465865	0.000152627
497451	0.895431	0.0465786	0.000152646
497421	0.996528	0.0465706	0.000152666
497390	1.07362	0.0465626	0.000152685
497360	1.0999	0.0465546	0.000152705
497329	1.06128	0.0465467	0.000152725
497299	0.962906	0.0465387	0.000152744
497268	0.829553	0.0465307	0.000152764
497238	0.699606	0.0465227	0.000152783
497207	0.614109	0.0465148	0.000152803
497177	0.604547	0.0465068	0.000152823
497146	0.683009	0.0464988	0.000152842
497116	0.838122	0.0464909	0.000152862
497085	1.03794	0.0464829	0.000152882
497055	1.23918	0.0464749	0.000152901
497024	1.39967	0.0464669	0.000152921
496994	1.49041	0.046459	0.000152941
496963	1.50312	0.046451	0.00015296
496933	1.45124	0.046443	0.00015298
496902	1.36397	0.0464351	0.000153
496872	1.27535	0.0464271	0.000153019
496841	1.21219	0.0464191	0.000153039
496811	1.18462	0.0464111	0.000153059
496780	1.18258	0.0464032	0.000153078
496750	1.17929	0.0463952	0.000153098
496719	1.14067	0.0463872	0.000153118
496689	1.03747	0.0463792	0.000153137
496658	0.856291	0.0463713	0.000153157
496628	0.605537	0.0463633	0.000153177
496597	0.314369	0.0463553	0.000153196
496566	0.0249812	0.0463474	0.000153216
496536	-0.219506	0.0463394	0.000153236
496505	-0.387453	0.0463314	0.000153256
496475	-0.467203	0.0463234	0.000153275
496444	-0.468947	0.0463155	0.000153295
496414	-0.419137	0.0463075	0.000153315
496383	-0.349306	0.0462995	0.000153334
496353	-0.283172	0.0462916	0.000153354
496322	-0.2265	0.0462836	0.000153374
496292	-0.163628	0.0462756	0.000153394
496261	-0.0622906	0.0462676	0.000153413
496231	0.114287	0.0462597	0.000153433
496200	0.391656	0.0462517	0.000153453
496170	0.770006	0.0462437	0.000153473
496139	1.21662	0.0462357	0.000153492
496109	1.66833	0.0462278	0.000153512
496078	2.04425	0.0462198	0.000153532
496048	2.26592	0.0462118	0.000153552
496017	2.27941	0.0462039	0.000153571
495987	2.07275	0.0461959	0.000153591
495956	1.68338	0.0461879	0.000153611
495926	1.19228	0.0461799	0.000153631
495895	0.706087	0.046172	0.000153651
495865	0.331131	0.046164	0.00015367
495834	0.146697	0.046156	0.00015369
495804	0.184578	0.0461481	0.00015371
495773	0.421072	0.0461401	0.00015373
495743	0.783619	0.0461321	0.00015375
495712	1.17055	0.0461241	0.000153769
495681	1.47848	0.0461162	0.000153789
495651	1.62976	0.0461082	0.000153809
495620	1.59223	0.0461002	0.000153829
495590	1.38598	0.0460922	0.000153849
495559	1.07522	0.0460843	0.000153869
495529	0.748009	0.0460763	0.000153888
495498	0.489694	0.0460683	0.000153908
495468	0.35815	0.0460604	0.000153928
495437	0.367716	0.0460524	0.000153948
495407	0.486603	0.0460444	0.000153968
495376	0.648219	0.0460364	0.000153988
495346	0.772825	0.0460285	0.000154007
495315	0.792987	0.0460205	0.000154027
495285	0.675088	0.0460125	0.000154047
495254	0.430497	0.0460046	0.000154067
495224	0.113156	0.0459966	0.000154087
495193	-0.195731	0.0459886	0.000154107
495163	-0.411237	0.0459806	0.000154127
495132	-0.469497	0.0459727	0.000154147
495102	-0.346478	0.0459647	0.000154166
495071	-0.0651781	0.0459567	0.000154186
495041	0.3106	0.0459488	0.000154206
495010	0.694037	0.0459408	0.000154226
494980	0.999191	0.0459328	0.000154246
494949	1.16401	0.0459248	0.000154266
494919	1.16579	0.0459169	0.000154286
494888	1.02494	0.0459089	0.000154306
494858	0.796184	0.0459009	0.000154326
494827	0.550566	0.045893	0.000154346
494796	0.353781	0.045885	0.000154366
494766	0.247584	0.045877	0.000154386
494735	0.2398	0.045869	0.000154405
494705	0.305522	0.0458611	0.000154425
494674	0.398725	0.0458531	0.000154445
494644	0.470062	0.0458451	0.000154465
494613	0.484912	0.0458371	0.000154485
494583	0.435666	0.0458292	0.000154505
494552	0.344225	0.0458212	0.000154525
494522	0.253888	0.0458132	0.000154545
494491	0.213356	0.0458053	0.000154565
494461	0.258125	0.0457973	0.000154585
494430	0.395581	0.0457893	0.000154605
494400	0.599194	0.0457813	0.000154625
494369	0.814191	0.0457734	0.000154645
494339	0.973656	0.0457654	0.000154665
494308	1.02045	0.0457574	0.000154685
494278	0.928197	0.0457495	0.000154705
