#ti:19F RbTa2O5
##freq 800.072
##col_ Hz	Spectrum	Model	Line#1	Line#2
111770	-57.854	56.9386	0	0
111578	-71.9478	56.897	0	0
111385	-86.8101	56.8555	0	0
111192	-99.5083	56.8139	0	0
110999	-106.969	56.7723	0	0
110807	-106.73	56.7307	0	0
110614	-97.8724	56.6892	0	0
110421	-81.7371	56.6476	0	0
110228	-61.9489	56.606	0	0
110036	-43.5503	56.5644	0	0
109843	-31.4054	56.5228	0	0
109650	-28.4383	56.4813	0	0
109458	-34.436	56.4397	0	0
109265	-45.9918	56.3981	0	0
109072	-57.716	56.3565	0	0
108879	-64.283	56.3149	0	0
108687	-62.4843	56.2734	0	0
108494	-52.4023	56.2318	0	0
108301	-37.1754	56.1902	0	0
108108	-21.4446	56.1486	0	0
107916	-9.1731	56.1071	0	0
107723	-1.84762	56.0655	0	0
107530	2.08415	56.0239	0	0
107337	6.23802	55.9823	0	0
107145	14.204	55.9407	0	0
106952	27.3233	55.8992	0	0
106759	43.4329	55.8576	0	0
106566	57.2791	55.816	0	0
106374	62.5541	55.7744	0	0
106181	54.738	55.7328	0	0
105988	33.4898	55.6913	0	0
105795	3.45597	55.6497	0	0
105603	-26.9987	55.6081	0	0
105410	-48.7315	55.5665	0	0
105217	-55.276	55.5249	0	0
105024	-45.3811	55.4834	0	0
104832	-23.5522	55.4418	0	0
104639	1.6643	55.4002	0	0
104446	20.9641	55.3586	0	0
104253	27.7934	55.3171	0	0
104061	20.6594	55.2755	0	0
103868	3.34927	55.2339	0	0
103675	-16.9377	55.1923	0	0
103482	-32.6716	55.1507	0	0
103290	-38.9449	55.1092	0	0
103097	-35.0907	55.0676	0	0
102904	-24.4023	55.026	0	0
102712	-12.2471	54.9844	0	0
102519	-3.54327	54.9428	0	0
102326	-0.7623	54.9013	0	0
102133	-3.28615	54.8597	0	0
101941	-8.25195	54.8181	0	0
101748	-12.3145	54.7765	0	0
101555	-13.374	54.735	0	0
101362	-11.4184	54.6934	0	0
101170	-8.14635	54.6518	0	0
100977	-5.6902	54.6102	0	0
100784	-5.2192	54.5686	0	0
100591	-6.23653	54.5271	0	0
100399	-6.98525	54.4855	0	0
100206	-5.7457	54.4439	0	0
100013	-2.28075	54.4023	0	0
99820.4	1.458	54.3607	0	0
99627.6	1.91557	54.3192	0	0
99434.9	-4.30323	54.2776	0	0
99242.2	-18.2761	54.236	0	0
99049.4	-37.3217	54.1944	0	0
98856.7	-55.1724	54.1529	0	0
98663.9	-63.9709	54.1113	0	0
98471.2	-57.4242	54.0697	0	0
98278.4	-33.8113	54.0281	0	0
98085.7	2.548	53.9865	0	0
97893	42.2002	53.945	0	0
97700.2	73.6929	53.9034	0	0
97507.5	87.7941	53.8618	0	0
97314.7	81.0993	53.8202	0	0
97122	57.4927	53.7786	0	0
96929.3	26.7586	53.7371	0	0
96736.5	0.818675	53.6955	0	0
96543.8	-10.9243	53.6539	0	0
96351	-5.2476	53.6123	0	0
96158.3	13.7281	53.5708	0	0
95965.5	36.3476	53.5292	0	0
95772.8	51.4495	53.4876	0	0
95580.1	50.9452	53.446	0	0
95387.3	33.0729	53.4044	0	0
95194.6	3.02735	53.3629	0	0
95001.8	-29.22	53.3213	0	0
94809.1	-52.9331	53.2797	0	0
94616.3	-60.7585	53.2381	0	0
94423.6	-51.3204	53.1965	0	0
94230.9	-29.2988	53.155	0	0
94038.1	-3.1172	53.1134	0	0
93845.4	18.6472	53.0718	0	0
93652.6	30.5563	53.0302	0	0
93459.9	31.966	52.9887	0	0
93267.1	26.501	52.9471	0	0
93074.4	19.7861	52.9055	0	0
92881.7	16.5978	52.8639	0	0
92688.9	18.7636	52.8223	0	0
92496.2	24.6999	52.7808	0	0
92303.4	30.6644	52.7392	0	0
92110.7	32.9986	52.6976	0	0
91917.9	30.209	52.656	0	0
91725.2	23.8673	52.6144	0	0
91532.5	17.9077	52.5729	0	0
91339.7	16.683	52.5313	0	0
91147	22.7291	52.4897	0	0
90954.2	35.32	52.4481	0	0
90761.5	50.5208	52.4066	0	0
90568.7	62.7422	52.365	0	0
90376	67.1037	52.3234	0	0
90183.3	61.5376	52.2818	0	0
89990.5	47.6852	52.2402	0	0
89797.8	30.1829	52.1987	0	0
89605	14.6628	52.1571	0	0
89412.3	5.36282	52.1155	0	0
89219.5	3.40912	52.0739	0	0
89026.8	6.5205	52.0323	0	0
88834.1	10.2458	51.9908	0	0
88641.3	10.1635	51.9492	0	0
88448.6	4.0523	51.9076	0	0
88255.8	-6.93842	51.866	0	0
88063.1	-18.6453	51.8245	0	0
87870.3	-25.6331	51.7829	0	0
87677.6	-23.5827	51.7413	0	0
87484.9	-11.3101	51.6997	0	0
87292.1	8.44098	51.6581	0	0
87099.4	29.7771	51.6166	0	0
86906.6	45.701	51.575	0	0
86713.9	50.6195	51.5334	0	0
86521.2	42.341	51.4918	0	0
86328.4	22.816	51.4502	0	0
86135.7	-2.61302	51.4087	0	0
85942.9	-27.1129	51.3671	0	0
85750.2	-44.6559	51.3255	0	0
85557.4	-51.8615	51.2839	0	0
85364.7	-48.7576	51.2424	0	0
85172	-38.2879	51.2008	0	0
84979.2	-24.8607	51.1592	0	0
84786.5	-12.563	51.1176	0	0
84593.7	-3.7228	51.076	0	0
84401	1.68515	51.0345	0	0
84208.2	5.6521	50.9929	0	0
84015.5	10.9983	50.9513	0	0
83822.8	19.9718	50.9097	0	0
83630	33.1278	50.8681	0	0
83437.3	48.8951	50.8266	0	0
83244.5	63.9695	50.785	0	0
83051.8	74.3763	50.7434	0	0
82859	76.8197	50.7018	0	0
82666.3	69.8518	50.6602	0	0
82473.6	54.4621	50.6187	0	0
82280.8	33.8891	50.5771	0	0
82088.1	12.7115	50.5355	0	0
81895.3	-4.48782	50.4939	0	0
81702.6	-14.455	50.4524	0	0
81509.8	-16.1639	50.4108	0	0
81317.1	-10.9954	50.3692	0	0
81124.4	-2.14875	50.3276	0	0
80931.6	6.50095	50.286	0	0
80738.9	11.7015	50.2445	0	0
80546.1	11.8274	50.2029	0	0
80353.4	7.25387	50.1613	0	0
80160.6	-0.00495	50.1197	0	0
79967.9	-7.22192	50.0781	0	0
79775.2	-12.0751	50.0366	0	0
79582.4	-13.5262	49.995	0	0
79389.7	-12.1383	49.9534	0	0
79196.9	-9.75015	49.9118	0	0
79004.2	-8.68207	49.8703	0	0
78811.4	-10.8275	49.8287	0	0
78618.7	-17.0012	49.7871	0	0
78426	-26.7727	49.7455	0	0
78233.2	-38.783	49.7039	0	0
78040.5	-51.322	49.6624	0	0
77847.7	-62.8581	49.6208	0	0
77655	-72.2695	49.5792	0	0
77462.2	-78.731	49.5376	0	0
77269.5	-81.4167	49.496	0	0
77076.8	-79.3128	49.4545	0	0
76884	-71.3861	49.4129	0	0
76691.3	-57.1557	49.3713	0	0
76498.5	-37.4521	49.3297	0	0
76305.8	-14.9547	49.2882	0	0
76113.1	5.90433	49.2466	0	0
75920.3	19.8635	49.205	0	0
75727.6	22.416	49.1634	0	0
75534.8	11.5361	49.1218	0	0
75342.1	-11.1428	49.0803	0	0
75149.3	-40.2722	49.0387	0	0
74956.6	-68.0504	48.9971	0	0
74763.9	-86.4828	48.9555	0	0
74571.1	-89.8988	48.9139	0	0
74378.4	-76.8217	48.8724	0	0
74185.6	-50.4887	48.8308	0	0
73992.9	-17.8051	48.7892	0	0
73800.1	12.8985	48.7476	0	0
73607.4	34.4855	48.7061	0	0
73414.7	43.0696	48.6645	0	0
73221.9	38.812	48.6229	1.4013e-45	0
73029.2	25.2775	48.5813	1.4013e-45	0
72836.4	7.72837	48.5397	4.2039e-45	0
72643.7	-8.8901	48.4982	8.40779e-45	0
72450.9	-21.477	48.4566	1.82169e-44	0
72258.2	-29.303	48.415	3.92364e-44	0
72065.5	-33.5008	48.3734	8.54792e-44	0
71872.7	-35.9203	48.3318	1.87774e-43	0
71680	-37.9718	48.2903	4.1058e-43	0
71487.2	-39.9922	48.2487	8.91226e-43	0
71294.5	-41.3489	48.2071	1.93239e-42	0
71101.7	-41.1015	48.1655	4.17587e-42	0
70909	-38.7747	48.124	8.99774e-42	0
70716.3	-34.7815	48.0824	1.93239e-41	0
70523.5	-30.2623	48.0408	4.13803e-41	0
70330.8	-26.448	47.9992	8.83407e-41	0
70138	-23.9388	47.9576	1.88029e-40	0
69945.3	-22.3477	47.9161	3.99004e-40	0
69752.5	-20.5663	47.8745	8.44145e-40	0
69559.8	-17.5643	47.8329	1.78051e-39	0
69367.1	-13.3039	47.7913	3.74422e-39	0
69174.3	-9.22735	47.7497	7.84994e-39	0
68981.6	-7.93532	47.7082	1.64081e-38	0
68788.8	-12.0618	47.6666	3.41933e-38	0
68596.1	-22.7856	47.625	7.10413e-38	0
68403.3	-38.6842	47.5834	1.47153e-37	0
68210.6	-55.5789	47.5419	3.03889e-37	0
68017.9	-67.637	47.5003	6.25677e-37	0
67825.1	-69.4385	47.4587	1.28432e-36	0
67632.4	-58.2304	47.4171	2.62836e-36	0
67439.6	-35.4129	47.3755	5.36272e-36	0
67246.9	-6.5374	47.334	1.09087e-35	0
67054.1	20.3311	47.2924	2.21233e-35	0
66861.4	37.3536	47.2508	4.47316e-35	0
66668.7	39.7321	47.2092	9.01711e-35	0
66475.9	27.4903	47.1676	1.81221e-34	0
66283.2	5.49042	47.1261	3.63111e-34	0
66090.4	-18.3491	47.0845	7.25366e-34	0
65897.7	-35.9449	47.0429	1.44465e-33	0
65705	-41.9151	47.0013	2.86852e-33	0
65512.2	-35.3041	46.9598	5.6786e-33	0
65319.5	-19.5337	46.9182	1.12076e-32	1.4013e-45
65126.7	-0.67895	46.8766	2.20533e-32	1.4013e-45
64934	15.1493	46.835	4.32635e-32	4.2039e-45
64741.2	24.2	46.7934	8.4617e-32	8.40779e-45
64548.5	26.2773	46.7519	1.64999e-31	1.96182e-44
64355.8	24.3053	46.7103	3.20772e-31	4.48416e-44
64163	22.5437	46.6687	6.21724e-31	1.00893e-43
63970.3	24.3018	46.6271	1.2014e-30	2.2701e-43
63777.5	30.1885	46.5855	2.31454e-30	5.04467e-43
63584.8	37.6716	46.544	4.44562e-30	1.12244e-42
63392	42.133	46.5024	8.51308e-30	2.48871e-42
63199.3	38.9527	46.4608	1.62529e-29	5.4987e-42
63006.6	25.7178	46.4192	3.09358e-29	1.211e-41
62813.8	3.60855	46.3776	5.87059e-29	2.65798e-41
62621.1	-22.6331	46.3361	1.11068e-28	5.81469e-41
62428.3	-46.1558	46.2945	2.09501e-28	1.26789e-40
62235.6	-60.3022	46.2529	3.93977e-28	2.75561e-40
62042.8	-60.8747	46.2113	7.3866e-28	5.96936e-40
61850.1	-47.523	46.1698	1.38072e-27	1.28888e-39
61657.4	-23.787	46.1282	2.5731e-27	2.7738e-39
61464.6	4.1399	46.0866	4.78073e-27	5.94993e-39
61271.9	29.4056	46.045	8.85566e-27	1.27211e-38
61079.1	46.5075	46.0034	1.63544e-26	2.7109e-38
60886.4	52.6548	45.9619	3.0112e-26	5.75806e-38
60693.6	48.1389	45.9203	5.52752e-26	1.21903e-37
60500.9	35.7593	45.8787	1.0116e-25	2.57235e-37
60308.2	19.6628	45.8371	1.84578e-25	5.4103e-37
60115.4	4.07107	45.7955	3.35765e-25	1.13419e-36
59922.7	-7.70272	45.754	6.08948e-25	2.3699e-36
59729.9	-13.7553	45.7124	1.10107e-24	4.93568e-36
59537.2	-13.6289	45.6708	1.98488e-24	1.02457e-35
59344.4	-8.03982	45.6292	3.56734e-24	2.11987e-35
59151.7	1.51937	45.5877	6.3921e-24	4.37172e-35
58959	13.1805	45.5461	1.14191e-23	8.98612e-35
58766.2	25.0556	45.5045	2.03378e-23	1.84106e-34
58573.5	35.5477	45.4629	3.61134e-23	3.75957e-34
58380.7	43.5998	45.4213	6.39322e-23	7.65218e-34
58188	48.8321	45.3798	1.12839e-22	1.55241e-33
57995.2	51.4959	45.3382	1.98558e-22	3.1391e-33
57802.5	52.2138	45.2966	3.48341e-22	6.32672e-33
57609.8	51.5657	45.255	6.0927e-22	1.27095e-32
57417	49.6826	45.2134	1.06244e-21	2.54479e-32
57224.3	46.0554	45.1719	1.84708e-21	5.0787e-32
57031.5	39.7094	45.1303	3.20151e-21	1.01025e-31
56838.8	29.7427	45.0887	5.53239e-21	2.00299e-31
56646	16.0386	45.0471	9.53146e-21	3.95828e-31
56453.3	-0.171975	45.0056	1.63717e-20	7.79667e-31
56260.6	-16.2212	44.964	2.80361e-20	1.53069e-30
56067.8	-28.5488	44.9224	4.78663e-20	2.9953e-30
55875.1	-33.778	44.8808	8.1476e-20	5.84212e-30
55682.3	-29.957	44.8392	1.38267e-19	1.13573e-29
55489.6	-17.472	44.7977	2.33935e-19	2.20068e-29
55296.8	0.79305	44.7561	3.94602e-19	4.25023e-29
55104.1	20.2062	44.7145	6.6361e-19	8.18171e-29
54911.4	35.8431	44.6729	1.11264e-18	1.56983e-28
54718.6	44.1388	44.6313	1.85988e-18	3.00216e-28
54525.9	44.1124	44.5898	3.09958e-18	5.72259e-28
54333.1	37.6756	44.5482	5.15003e-18	1.08724e-27
54140.4	28.8812	44.5066	8.53109e-18	2.05891e-27
53947.7	22.3769	44.465	1.40893e-17	3.88617e-27
53754.9	21.6472	44.4235	2.31985e-17	7.31111e-27
53562.2	27.7104	44.3819	3.8082e-17	1.37094e-26
53369.4	38.7592	44.3403	6.23258e-17	2.56231e-26
53176.7	50.8624	44.2987	1.01696e-16	4.77331e-26
52983.9	59.4357	44.2571	1.65436e-16	8.86305e-26
52791.2	60.9045	44.2156	2.68314e-16	1.6403e-25
52598.5	53.9328	44.174	4.33855e-16	3.02578e-25
52405.7	39.7906	44.1324	6.99415e-16	5.56323e-25
52213	21.7833	44.0908	1.12412e-15	1.01951e-24
52020.2	4.02277	44.0492	1.80127e-15	1.86223e-24
51827.5	-9.954	44.0077	2.87763e-15	3.3904e-24
51634.7	-18.2092	43.9661	4.5833e-15	6.15239e-24
51442	-20.747	43.9245	7.27797e-15	1.11279e-23
51249.3	-19.1445	43.8829	1.15221e-14	2.00612e-23
51056.5	-15.7115	43.8414	1.81861e-14	3.60475e-23
50863.8	-12.5546	43.7998	2.86177e-14	6.4561e-23
50671	-10.9005	43.7582	4.48973e-14	1.1525e-22
50478.3	-10.8675	43.7166	7.02253e-14	2.05063e-22
50285.5	-11.6715	43.675	1.0951e-13	3.63671e-22
50092.8	-12.0891	43.6335	1.70257e-13	6.42845e-22
49900.1	-10.9491	43.5919	2.63903e-13	1.13261e-21
49707.3	-7.4737	43.5503	4.07822e-13	1.98897e-21
49514.6	-1.41188	43.5087	6.28327e-13	3.48139e-21
49321.8	6.98542	43.4671	9.65137e-13	6.07368e-21
49129.1	17.0472	43.4256	1.47802e-12	1.05615e-20
48936.3	27.7427	43.384	2.25663e-12	1.83054e-20
48743.6	37.7172	43.3424	3.43502e-12	3.16231e-20
48550.9	45.3654	43.3008	5.21298e-12	5.44512e-20
48358.1	49.0287	43.2593	7.88735e-12	9.34512e-20
48165.4	47.3525	43.2177	1.18977e-11	1.5986e-19
47972.6	39.7487	43.1761	1.78931e-11	2.72563e-19
47779.9	26.8168	43.1345	2.68285e-11	4.63204e-19
47587.1	10.5361	43.0929	4.01047e-11	7.84607e-19
47394.4	-5.91663	43.0514	5.97698e-11	1.32467e-18
47201.7	-18.7563	43.0098	8.8809e-11	2.22915e-18
47008.9	-24.4732	42.9682	1.31559e-10	3.73892e-18
46816.2	-20.7783	42.9266	1.943e-10	6.25071e-18
46623.4	-7.32767	42.885	2.86096e-10	1.04157e-17
46430.7	14.0086	42.8435	4.19992e-10	1.7299e-17
46237.9	39.4438	42.8019	6.14692e-10	2.86372e-17
46045.2	64.0854	42.7603	8.96938e-10	4.72515e-17
45852.5	83.0561	42.7187	1.30484e-09	7.77099e-17
45659.7	92.6317	42.6772	1.89251e-09	1.27383e-16
45467	91.0959	42.6356	2.73658e-09	2.08125e-16
45274.2	79.0903	42.594	3.94518e-09	3.38931e-16
45081.5	59.3708	42.5524	5.67039e-09	5.50142e-16
44888.7	36.0473	42.5108	8.12547e-09	8.90048e-16
44696	13.5187	42.4693	1.16084e-08	1.43525e-15
44503.3	-4.59637	42.4277	1.65342e-08	2.30684e-15
44310.5	-16.2366	42.3861	2.34792e-08	3.69558e-15
44117.8	-21.1697	42.3445	3.32409e-08	5.90098e-15
43925	-20.7058	42.3029	4.6919e-08	9.39162e-15
43732.3	-16.9763	42.2614	6.60259e-08	1.48982e-14
43539.6	-12.0526	42.2198	9.26334e-08	2.3556e-14
43346.8	-7.23377	42.1782	1.29572e-07	3.71231e-14
43154.1	-2.77192	42.1366	1.80692e-07	5.83127e-14
42961.3	1.86885	42.0951	2.51222e-07	9.12973e-14
42768.6	7.34555	42.0535	3.48229e-07	1.42472e-13
42575.8	13.6749	42.0119	4.81238e-07	2.21602e-13
42383.1	19.7593	41.9703	6.63046e-07	3.43554e-13
42190.4	23.485	41.9287	9.10785e-07	5.30875e-13
41997.6	22.4425	41.8872	1.24731e-06	8.17646e-13
41804.9	15.0284	41.8456	1.70304e-06	1.2552e-12
41612.1	1.47035	41.804	2.31825e-06	1.9206e-12
41419.4	-15.7235	41.7624	3.1462e-06	2.92912e-12
41226.6	-32.2043	41.7208	4.25696e-06	4.45258e-12
41033.9	-43.0782	41.6793	5.74251e-06	6.74625e-12
40841.2	-44.6418	41.6377	7.72311e-06	1.0188e-11
40648.4	-35.8908	41.5961	1.03555e-05	1.53352e-11
40455.7	-19.1534	41.5545	1.38432e-05	2.30074e-11
40262.9	0.511075	41.513	1.84498e-05	3.4405e-11
40070.2	17.0223	41.4714	2.45152e-05	5.12802e-11
39877.4	25.5023	41.4298	3.24764e-05	7.61823e-11
39684.7	24.1548	41.3883	4.28932e-05	1.12806e-10
39492	15.0241	41.3467	5.64803e-05	1.6649e-10
39299.2	3.27217	41.3051	7.4147e-05	2.44918e-10
39106.5	-4.79735	41.2636	9.70463e-05	3.5911e-10
38913.7	-4.21237	41.222	0.000126635	5.24819e-10
38721	6.68675	41.1805	0.000164746	7.64482e-10
38528.2	25.5712	41.139	0.00021368	1.10994e-09
38335.5	47.0423	41.0974	0.000276314	1.60624e-09
38142.8	64.7699	41.0559	0.00035623	2.31683e-09
37950	73.9595	41.0145	0.000457873	3.33085e-09
37757.3	73.1123	40.973	0.000586744	4.77299e-09
37564.5	64.3413	40.9316	0.000749619	6.81713e-09
37371.8	52.1388	40.8902	0.000954819	9.70485e-09
37179	41.1709	40.8489	0.00121252	1.37706e-08
36986.3	34.1146	40.8076	0.00153513	1.94756e-08
36793.6	30.5428	40.7665	0.00193772	2.74539e-08
36600.8	27.3974	40.7254	0.00243851	3.85739e-08
36408.1	20.8623	40.6844	0.00305948	5.40205e-08
36215.3	8.78352	40.6436	0.00382699	7.54048e-08
36022.6	-7.524	40.603	0.00477261	1.0491e-07
35829.8	-23.025	40.5626	0.00593394	1.45481e-07
35637.1	-30.5568	40.5224	0.0073556	2.01083e-07
35444.4	-23.7277	40.4826	0.00909038	2.77024e-07
35251.6	0.05505	40.4431	0.0112004	3.80396e-07
35058.9	37.7546	40.4041	0.0137586	5.20632e-07
34866.1	80.9781	40.3656	0.0168501	7.10232e-07
34673.4	118.43	40.3277	0.020574	9.65708e-07
34480.6	139.705	40.2906	0.0250452	1.30878e-06
34287.9	138.986	40.2544	0.0303962	1.76792e-06
34095.2	117.193	40.2192	0.0367791	2.38032e-06
33902.4	81.6973	40.1852	0.0443681	3.19436e-06
33709.7	43.6625	40.1526	0.0533617	4.27275e-06
33516.9	14.025	40.1217	0.0639848	5.69648e-06
33324.2	-0.35335	40.0926	0.0764913	7.56974e-06
33131.5	1.10695	40.0657	0.0911665	1.00261e-05
32938.7	12.9405	40.0413	0.10833	1.3236e-05
32746	26.1572	40.0197	0.128336	1.74164e-05
32553.2	32.0021	40.0014	0.151578	2.28421e-05
32360.5	25.4674	39.9867	0.17849	2.98599e-05
32167.7	7.22117	39.9762	0.209546	3.8906e-05
31975	-16.7113	39.9704	0.245263	5.05267e-05
31782.3	-37.285	39.9698	0.286203	6.54034e-05
31589.5	-45.8091	39.975	0.33297	8.4383e-05
31396.8	-37.0506	39.9866	0.38621	0.000108514
31204	-10.9645	40.0055	0.446612	0.000139089
31011.3	27.4498	40.0323	0.514903	0.000177695
30818.5	69.9279	40.0677	0.591847	0.000226272
30625.8	107.557	40.1125	0.678237	0.000287187
30433.1	133.24	40.1677	0.774893	0.000363307
30240.3	143.236	40.234	0.882654	0.000458097
30047.6	137.472	40.3122	1.00237	0.000575728
29854.8	118.819	40.4033	1.13489	0.000721196
29662.1	91.8553	40.5081	1.28105	0.000900459
29469.3	61.6458	40.6273	1.44168	0.0011206
29276.6	32.8962	40.7619	1.61755	0.00138999
29083.9	9.50408	40.9125	1.80941	0.00171851
28891.1	-5.66348	41.0798	2.01792	0.0021177
28698.4	-10.9911	41.2645	2.24367	0.00260108
28505.6	-6.41765	41.467	2.48716	0.00318433
28312.9	6.30477	41.6877	2.74875	0.0038856
28120.1	23.6538	41.9269	3.0287	0.00472579
27927.4	40.9094	42.1847	3.32709	0.00572883
27734.7	53.269	42.4611	3.64386	0.00692202
27541.9	57.2336	42.7558	3.97875	0.00833635
27349.2	51.7771	43.0685	4.33133	0.0100068
27156.4	38.804	43.3985	4.70092	0.0119726
26963.7	22.6188	43.745	5.08667	0.0142777
26770.9	8.5153	44.1069	5.48747	0.0169708
26578.2	0.966275	44.483	5.902	0.0201059
26385.5	2.0888	44.8717	6.3287	0.0237421
26192.7	10.9822	45.2714	6.76578	0.0279442
26000	24.1981	45.6802	7.21124	0.0327823
25807.2	37.1475	46.0957	7.66286	0.0383321
25614.5	45.8723	46.5158	8.11819	0.0446746
25421.7	48.4667	46.9379	8.57465	0.0518962
25229	45.5919	47.3594	9.02946	0.0600876
25036.3	39.9172	47.7773	9.47972	0.0693443
24843.5	34.7714	48.1888	9.92242	0.0797649
24650.8	32.6077	48.591	10.3545	0.091451
24458	33.9417	48.9808	10.7728	0.104506
24265.3	37.1987	49.3551	11.1741	0.119033
24072.5	39.5007	49.711	11.5555	0.135136
23879.8	38.0238	50.0456	11.9139	0.152915
23687.1	31.3222	50.356	12.2463	0.172467
23494.3	20.0455	50.6395	12.5501	0.193882
23301.6	6.75045	50.8938	12.8226	0.217241
