ti:19F RbTa2
##freq 800.072
##col_ Hz	Spectrum	Model	Line#1	Line#2
111770	55.6479	59.7024	1.10833	1.65546
111578	70.436	59.6664	1.11061	1.65872
111385	88.4077	59.6303	1.11289	1.66198
111192	108.742	59.5943	1.11519	1.66525
110999	129.385	59.5583	1.11749	1.66854
110807	147.461	59.5224	1.1198	1.67183
110614	160.036	59.4864	1.12211	1.67513
110421	164.998	59.4504	1.12443	1.67844
110228	161.738	59.4145	1.12676	1.68177
110036	151.39	59.3786	1.1291	1.6851
109843	136.544	59.3427	1.13145	1.68844
109650	120.512	59.3069	1.1338	1.69179
109458	106.39	59.271	1.13616	1.69515
109265	96.2248	59.2352	1.13853	1.69853
109072	90.56	59.1993	1.1409	1.70191
108879	88.478	59.1635	1.14329	1.7053
108687	88.1091	59.1277	1.14568	1.70871
108494	87.3947	59.092	1.14807	1.71212
108301	84.8269	59.0562	1.15048	1.71554
108108	79.9106	59.0205	1.15289	1.71898
107916	73.1918	58.9848	1.15532	1.72242
107723	65.8847	58.9491	1.15774	1.72588
107530	59.2609	58.9134	1.16018	1.72934
107337	54.0595	58.8778	1.16263	1.73282
107145	50.1621	58.8421	1.16508	1.73631
106952	46.6677	58.8065	1.16754	1.7398
106759	42.3393	58.7709	1.17001	1.74331
106566	36.2509	58.7353	1.17249	1.74683
106374	28.3676	58.6998	1.17497	1.75036
106181	19.8046	58.6642	1.17746	1.7539
105988	12.625	58.6287	1.17996	1.75745
105795	9.2058	58.5932	1.18247	1.76101
105603	11.374	58.5577	1.18499	1.76459
105410	19.6169	58.5222	1.18752	1.76817
105217	32.6718	58.4868	1.19005	1.77176
105024	47.6792	58.4513	1.19259	1.77537
104832	60.8996	58.4159	1.19514	1.77899
104639	68.7851	58.3805	1.1977	1.78262
104446	69.0642	58.3452	1.20027	1.78626
104253	61.4775	58.3098	1.20285	1.78991
104061	47.9094	58.2745	1.20543	1.79357
103868	31.8566	58.2392	1.20802	1.79724
103675	17.4096	58.2039	1.21062	1.80093
103482	8.0739	58.1686	1.21323	1.80462
103290	5.8237	58.1334	1.21585	1.80833
103097	10.6752	58.0981	1.21848	1.81205
102904	20.8911	58.0629	1.22112	1.81578
102712	33.6914	58.0277	1.22376	1.81953
102519	46.1879	57.9925	1.22642	1.82328
102326	56.196	57.9574	1.22908	1.82705
102133	62.6657	57.9223	1.23175	1.83082
101941	65.6428	57.8872	1.23443	1.83461
101748	65.8728	57.8521	1.23712	1.83842
101555	64.2978	57.817	1.23982	1.84223
101362	61.6992	57.782	1.24253	1.84606
101170	58.6545	57.7469	1.24524	1.84989
100977	55.7727	57.7119	1.24797	1.85374
100784	54.0263	57.677	1.25071	1.85761
100591	54.9032	57.642	1.25345	1.86148
100399	60.1861	57.6071	1.2562	1.86537
100206	71.3295	57.5721	1.25897	1.86926
100013	88.6477	57.5372	1.26174	1.87318
99820.4	110.672	57.5024	1.26452	1.8771
99627.6	134.059	57.4675	1.26731	1.88104
99434.9	154.251	57.4327	1.27012	1.88498
99242.2	166.803	57.3979	1.27293	1.88895
99049.4	168.985	57.3631	1.27575	1.89292
98856.7	161.047	57.3283	1.27858	1.89691
98663.9	146.614	57.2936	1.28142	1.90091
98471.2	131.895	57.2589	1.28427	1.90492
98278.4	123.856	57.2242	1.28713	1.90894
98085.7	127.902	57.1895	1.28999	1.91298
97893	145.875	57.1549	1.29287	1.91703
97700.2	175.142	57.1202	1.29576	1.9211
97507.5	209.197	57.0856	1.29866	1.92517
97314.7	239.678	57.0511	1.30157	1.92926
97122	259.142	57.0165	1.30449	1.93337
96929.3	263.651	56.982	1.30742	1.93748
96736.5	254.209	56.9475	1.31036	1.94161
96543.8	236.489	56.913	1.31331	1.94576
96351	218.889	56.8785	1.31627	1.94991
96158.3	209.574	56.8441	1.31924	1.95408
95965.5	213.563	56.8097	1.32222	1.95827
