ti:93Nb RbNb2O5
##freq 208.118
##col_ Hz	Spectrum	Model	Line#1
267244	1488.11	50.4543	5.20392
266756	1378.4	50.6292	5.41975
266267	1406.63	50.8141	5.64553
265779	1638.6	51.0107	5.88296
265291	1970.62	51.225	6.13817
264803	2183.12	51.4387	6.39276
264314	2087.11	51.6617	6.65661
263826	1682.36	51.8923	6.92816
263338	1181.99	52.1262	7.20292
262849	855.296	52.375	7.49256
262361	827.323	52.6241	7.78257
261873	1024.92	52.8892	8.08851
261385	1297.7	53.1555	8.39575
260896	1556.19	53.4257	8.70683
260408	1782.26	53.7045	9.02647
259920	1948	53.9883	9.35119
259431	1989.04	54.2762	9.67996
258943	1884.42	54.5681	10.0127
258455	1732.01	54.8601	10.3456
257967	1694.8	55.16	10.6864
257478	1850.48	55.4596	11.0268
256990	2105.63	55.7602	11.3684
256502	2274.81	56.0599	11.7089
256013	2243.12	56.3523	12.0422
255525	2043.74	56.6537	12.3845
255037	1788.03	56.9479	12.7196
254549	1553.46	57.2431	13.0556
254060	1363.6	57.5274	13.3808
253572	1256.52	57.8092	13.7034
253084	1311.02	58.0855	14.0207
252595	1553.66	58.3556	14.3316
252107	1846.07	58.6173	14.6343
251619	1926.32	58.8685	14.9263
251131	1629.03	59.1114	15.2101
250642	1087.27	59.3427	15.4823
250154	690.386	59.5588	15.7392
249666	795.408	59.7656	15.9869
249178	1438.19	59.9591	16.2213
248689	2298.03	60.1405	16.4435
248201	2933.83	60.2999	16.6438
247713	3079.41	60.4524	16.8373
247224	2772.81	60.5888	17.0145
246736	2266.06	60.7078	17.1744
246248	1828.29	60.809	17.3164
245760	1592.07	60.8938	17.4421
245271	1526.63	60.9639	17.5531
244783	1527.91	61.0167	17.6468
244295	1541.98	61.0566	17.7276
243806	1616.23	61.0778	17.7897
243318	1833.35	61.0842	17.837
242830	2200.2	61.0728	17.8665
242342	2158.85	61.0536	17.8881
241853	1893.05	61.0197	17.895
241365	1405.99	60.9716	17.8879
240877	828.802	60.9114	17.8685
240388	285.824	60.8402	17.8382
239900	-220.861	60.7623	17.8012
239412	-766.347	60.6735	17.7532
238924	-1341.07	60.5737	17.6943
238435	-1762	60.4723	17.6339
237947	-1781.75	60.3632	17.5656
237459	-1312.21	60.2519	17.4952
236970	-550.584	60.2849	17.569
236482	123.181	60.1705	17.4956
235994	402.294	60.067	17.433
235506	251.722	59.9595	17.3664
235017	-107.266	59.8499	17.2975
234529	-393.984	59.7324	17.2209
234041	-461.398	59.6297	17.1591
233553	-325.626	59.5316	17.102
233064	-51.6896	59.4311	17.0423
232576	337.656	59.349	17.001
232088	815.693	59.2664	16.9594
231599	1250.08	59.1862	16.9201
231111	1425.62	59.1099	16.8846
230623	1226.36	59.0363	16.8519
230135	787.427	58.9764	16.8329
229646	417.93	58.9229	16.8203
229158	348.454	58.8716	16.8098
228670	571.245	58.8356	16.8148
228181	938.496	58.7897	16.8097
227693	1375.91	58.7664	16.8273
227205	1937.23	58.7462	16.8479
226717	2637.17	58.7005	16.8432
226228	3287.34	58.6914	16.8749
225740	3563.93	58.6757	16.9001
225252	3261.3	58.6617	16.9269
224763	2475.02	58.6485	16.9546
224275	1545.77	58.6414	16.9884
223787	841.466	58.6192	17.0071
223299	569.477	58.6075	17.0363
222810	719.846	58.5918	17.0615
222322	1111.58	58.5878	17.0984
221834	1484.4	58.5605	17.1119
221345	1604.88	58.525	17.1173
220857	1354.28	58.4797	17.1129
220369	755.602	58.4562	17.1302
219881	-64.512	58.4008	17.1157
219392	-931.702	58.3434	17.0992
218904	-1661.71	58.2785	17.0752
218416	-2097.65	58.2035	17.041
217928	-2164.62	58.1161	16.9945
217439	-1901.86	58.0122	16.9316
216951	-1426.41	57.8941	16.8543
216463	-865.323	57.7663	16.7674
215974	-340.474	57.6281	16.6701
215486	0.864	57.4704	16.5532
214998	23.1584	57.3025	16.4262
214510	-253.494	57.1282	16.2928
214021	-564.381	56.9334	16.1389
213533	-555.195	56.7164	15.9627
213045	-102.235	56.4861	15.7733
212556	538.334	56.2379	15.566
212068	955.813	55.9763	15.3453
211580	962.731	55.7062	15.1161
211092	705.346	55.4182	14.869
210603	399.744	55.1198	14.6114
210115	40.264	54.8035	14.336
209627	-552.475	54.4891	14.0625
209138	-1418.97	54.1522	13.7664
208650	-2296.21	53.8073	13.4625
208162	-2820.58	53.4664	13.1624
207674	-2856.86	53.1038	12.8407
207185	-2574.66	52.7451	12.5229
206697	-2223.87	52.3661	12.1847
206209	-1909.02	51.9969	11.8564
205720	-1602.81	51.6079	11.5084
205232	-1307.55	51.2251	11.1664
204744	-1120.68	50.8373	10.8195
204256	-1138.14	50.4498	10.4728
203767	-1347.65	50.0655	10.1294
203279	-1637.94	49.6788	9.78362
202791	-1873.62	49.3	9.4457
202303	-1930.08	48.924	9.1106
201814	-1696.87	48.5507	8.77821
201326	-1133.63	48.1885	8.45688
200838	-371.08	47.8255	8.13477
200349	270.125	47.4707	7.82083
199861	428.95	47.1278	7.5188
199373	-62.9904	46.7869	7.21873
198885	-1049.45	46.4596	6.93238
198396	-2124.05	46.1414	6.65506
197908	-2855.88	45.8344	6.38889
197420	-3015.18	45.5392	6.13458
196931	-2664.18	45.2466	5.88287
196443	-2065.67	44.9827	5.65981
195955	-1476	44.7137	5.43173
195467	-975.885	44.4698	5.22869
194978	-472.363	44.2267	5.02647
194490	141.488	44.0078	4.8485
194002	832.797	43.8015	4.68307
193513	1434.03	43.6059	4.52836
193025	1786.25	43.4272	4.39044
192537	1859.14	43.2609	4.26511
192049	1738.24	43.1141	4.15912
191560	1534.88	42.9861	4.07206
191072	1340.16	42.8742	4.00102
190584	1245.24	42.7805	3.9482
190095	1342.17	42.7115	3.92008
189607	1655.61	42.6598	3.90923
189119	2076.43	42.6361	3.92644
188631	2397.63	42.6381	3.96935
188142	2443.92	42.6674	4.03947
187654	2178.81	42.7245	4.13743
187166	1699.64	42.8198	4.27363
186678	1148.03	42.9401	4.43479
186189	630.31	43.1064	4.64198
185701	203.627	43.3094	4.88588
185213	-91.0672	43.5548	5.17218
184724	-197.882	43.8496	5.50783
184236	-49.4112	44.1898	5.88892
183748	390.862	44.5846	6.32462
183260	1072.12	45.0367	6.81761
182771	1835.97	45.5465	7.36826
182283	2471.83	46.1228	7.98547
