ti:87Rb RbTa
##freq 278.221
##col_ Hz	Spectrum	Model	Line#1	Line#2
749703	4393.64	0.0976739	0.102597	-0.00492347
749337	2370.6	0.0940857	0.102695	-0.00860935
748970	536.678	0.0938669	0.102793	-0.00892591
748604	244.509	0.0889292	0.102891	-0.0139616
748238	1551.16	0.128468	0.102989	0.0254788
747872	3125.15	0.142496	0.103087	0.0394093
747506	3573.66	0.131855	0.103185	0.0286692
747139	2871.3	0.124406	0.103284	0.0211223
746773	2189.31	0.124192	0.103382	0.0208094
746407	2270.06	0.116066	0.103481	0.0125847
746041	2478.86	0.114409	0.10358	0.010829
745675	1828.46	0.112162	0.103679	0.00848329
745308	472.579	0.10698	0.103778	0.00320169
744942	-493.216	0.10369	0.103878	-0.000187424
744576	-513.629	0.103704	0.103977	-0.000273432
744210	-79.4496	0.103393	0.104077	-0.000683598
743843	279.12	0.102486	0.104176	-0.00169032
743477	658.461	0.104863	0.104276	0.000586276
743111	1106.31	0.105561	0.104376	0.0011843
742745	1096.7	0.108417	0.104477	0.00394025
742379	363.651	0.111287	0.104577	0.00670991
742012	-310.704	0.116583	0.104677	0.0119054
741646	-14.6432	0.123668	0.104778	0.0188898
741280	882.054	0.120038	0.104879	0.0151594
740914	1188.78	0.126927	0.10498	0.0219476
740548	704.912	0.122251	0.105081	0.0171705
740181	526.979	0.121484	0.105182	0.0163025
739815	1290.45	0.119728	0.105283	0.0144451
739449	2130.24	0.11777	0.105385	0.0123855
739083	2004.08	0.114933	0.105486	0.00944624
738717	1190.8	0.115114	0.105588	0.00952585
738350	594.48	0.129237	0.10569	0.0235465
737984	228.054	0.173057	0.105792	0.0672645
737618	-449.446	0.299245	0.105894	0.193351
737252	-1044.84	0.608586	0.105997	0.502589
736885	-484.253	1.36931	0.106099	1.26321
736519	1081.92	3.13581	0.106202	3.02961
736153	2003	7.03316	0.106305	6.92685
735787	1404.56	15.2719	0.106408	15.1655
735421	576.742	32.108	0.106511	32.0014
735054	1075.3	64.6367	0.106614	64.5301
734688	2350.56	125.256	0.106718	125.149
734322	2667.15	233.609	0.106821	233.503
733956	1912.92	417.211	0.106925	417.104
733590	1797.09	716.547	0.107029	716.44
733223	3054.06	1181.38	0.107133	1181.28
732857	4136.29	1865.21	0.107237	1865.11
732491	3627.56	2827.24	0.107341	2827.14
732125	2678.79	4104.91	0.107446	4104.8
731759	3553.02	5703.97	0.107551	5703.86
731392	6306.91	7590.74	0.107655	7590.63
731026	8557.58	9659.8	0.10776	9659.69
730660	8723.59	11753.4	0.107865	11753.3
730294	8058.92	13661.7	0.107971	13661.6
729927	8670.38	15167.4	0.108076	15167.3
729561	10453.8	16080.7	0.108182	16080.6
729195	11180.6	16256.4	0.108287	16256.3
728829	9461.1	15681.6	0.108393	15681.5
728463	6595.01	14425.3	0.108499	14425.2
728096	5038.14	12642.1	0.108605	12642
727730	5502.82	10559.6	0.108712	10559.5
727364	6181.56	8400.36	0.108818	8400.25
726998	4952.73	6365.03	0.108925	6364.92
726632	1951.38	4589.98	0.109032	4589.87
726265	-598.013	3150.11	0.109139	3150
725899	-1177.26	2058.98	0.109246	2058.87
725533	-856.707	1278.58	0.109353	1278.47
725167	-1586.22	755.775	0.109461	755.665
724800	-3059.32	425.312	0.109568	425.202
724434	-2788.9	226.937	0.109676	226.828
724068	181.722	115.461	0.109784	115.351
723702	3181.94	55.8898	0.109892	55.7799
723336	3073.6	25.6124	0.11	25.5024
722969	646.275	11.2607	0.110108	11.1505
722603	-292.205	4.7438	0.110217	4.63359
722237	1710.22	1.91983	0.110326	1.80951
721871	3638.06	0.798658	0.110435	0.688224
721505	2455.73	0.357973	0.110544	0.24743
721138	-359.562	0.195617	0.110653	0.0849639
720772	-986.515	0.146211	0.110762	0.0354489
720406	1114.2	0.121489	0.110872	0.0106171
720040	2563.57	0.118902	0.110981	0.00792036
719674	1189.4	0.116209	0.111091	0.0051174
719307	-1027.38	0.114321	0.111201	0.00312001
718941	-1446.81	0.112866	0.111311	0.00155453
718575	-869.731	0.115086	0.111422	0.00366397
718209	-1778.69	0.11422	0.111532	0.00268816
717842	-3797.4	0.113713	0.111643	0.00206975
717476	-3855.75	0.111647	0.111754	-0.000106362
717110	-851.648	0.111477	0.111865	-0.000388254
716744	2135.54	0.113452	0.111976	0.0014764
716378	2066.84	0.112482	0.112087	0.000395017
716011	-174.659	0.112712	0.112199	0.000513127
715645	-1532.37	0.109973	0.11231	-0.00233709
715279	-1053.71	0.112902	0.112422	0.000479939
